headline,url,title
‘A Tuba to Cuba’ Review: A New Orleans Jazz Band Makes a Caribbean Connection,https://www.nytimes.com/2019/02/14/movies/a-tuba-to-cuba-review.html,A Tuba to Cuba Review
"‘Fighting With My Family’ Review: They Body Slam You, Your Mum and Dad. Lovingly.",https://www.nytimes.com/2019/02/13/movies/fighting-with-my-family-review.html,Fighting With My Family Review
"‘Sorry Angel’ Review: A Love Affair Two Men Start, Knowing the End",https://www.nytimes.com/2019/02/12/movies/sorry-angel-review.html,Sorry Angel Review
"‘Berlin, I Love You’ Review: Many Stories, Not Much Feeling",https://www.nytimes.com/2019/02/07/movies/berlin-i-love-you-review.html,"Berlin, I Love You Review"
"‘Untogether’ Review: Adrift in Los Angeles, Looking for Love",https://www.nytimes.com/2019/02/07/movies/untogether-review.html,Untogether Review
‘Cold War’ Review: Love Without Borders,https://www.nytimes.com/2018/12/20/movies/cold-war-review.html,Cold War Review
‘If Beale Street Could Talk’ Review: Trusting Love in a World Ruled by Hate,https://www.nytimes.com/2018/12/12/movies/if-beale-street-could-talk-review.html,If Beale Street Could Talk Review
‘Asher’ Review: An Aging Hit Man Finds Love,https://www.nytimes.com/2018/12/06/movies/asher-review.html,Asher Review
‘The Party’s Just Beginning’ Review: Loss and Love in Inverness,https://www.nytimes.com/2018/12/06/movies/the-partys-just-beginning-review.html,The Party Review
‘The Great Pretender’ Review: Tedious Love Affairs in Artsy Brooklyn,https://www.nytimes.com/2018/12/06/movies/the-great-pretender-review.html,The Great Pretender Review
‘Sicilian Ghost Story’ Review: Fairy-Tale Love Meets Real-Life Crime,https://www.nytimes.com/2018/11/29/movies/sicilian-ghost-story-review.html,Sicilian Ghost Story Review
‘The New Romantic’ Review: Experiments With Love and Money,https://www.nytimes.com/2018/11/08/movies/the-new-romantic-review.html,The New Romantic Review
‘Pimp’ Review: Blaxploitation and Lesbian Love,https://www.nytimes.com/2018/11/08/movies/pimp-review.html,Pimp Review
‘In a Relationship’ Review: Two Couples at Opposite Stages of Love,https://www.nytimes.com/2018/11/08/movies/in-a-relationship-review.html,In a Relationship Review
Review: ‘They’ll Love Me When I’m Dead’ Documents Orson Welles’s Last Film,https://www.nytimes.com/2018/11/01/movies/theyll-love-me-when-im-dead-review-documentary.html,They Review
"Review: In ‘Burning,’ Love Ignites a Divided World",https://www.nytimes.com/2018/10/25/movies/burning-review.html,"Burning, Review"
"Review: In ‘After Everything,’ a Young Love Blooms in Crisis",https://www.nytimes.com/2018/10/11/movies/after-everything-review.html,"After Everything, Review"
Review: ‘Quincy’ Captures a Lifelong Love Affair With Music,https://www.nytimes.com/2018/09/20/movies/quincy-review-quincy-jones.html,Quincy Review
"Review: In ‘Love, Gilda,’ a Portrait of a Brief and Brilliant Career",https://www.nytimes.com/2018/09/20/movies/love-gilda-review-saturday-night-live-documentary.html,"Love, Gilda, Review"
"Review: In ‘Tea With the Dames,’ Four Legends Dish on Acting and Love",https://www.nytimes.com/2018/09/20/movies/tea-with-the-dames-review.html,"Tea With the Dames, Review"
"Review: In ‘Bel Canto,’ Music Is the Food of Love and Rebellion",https://www.nytimes.com/2018/09/13/movies/bel-canto-review-julianne-moore.html,"Bel Canto, Review"
"Review: In ‘The Citizen,’ an Immigrant Picks a Bad Time to Fall in Love",https://www.nytimes.com/2018/07/05/movies/the-citizen-review.html,"The Citizen, Review"
